instance,element_id,node_ids
PART-1-1,128,350 413 376 335 351 412 377 334
PART-1-1,129,349 414 375 336 350 413 376 335
PART-1-1,130,348 415 374 337 349 414 375 336
PART-1-1,131,347 416 373 338 348 415 374 337
PART-1-1,132,346 417 372 339 347 416 373 338
PART-1-1,133,345 418 371 340 346 417 372 339
PART-1-1,134,344 419 370 341 345 418 371 340
PART-1-1,135,343 420 369 342 344 419 370 341
PART-1-1,136,1 8 5 2 343 420 369 342
PART-1-1,137,38 37 368 395 35 36 257 301
PART-1-1,138,395 368 367 396 301 257 258 300
PART-1-1,139,396 367 366 397 300 258 259 299
PART-1-1,140,397 366 365 398 299 259 260 298
PART-1-1,141,398 365 364 399 298 260 261 297
PART-1-1,142,399 364 363 400 297 261 262 296
PART-1-1,143,400 363 362 401 296 262 263 295
PART-1-1,144,401 362 361 402 295 263 264 294
PART-1-1,145,402 361 360 403 294 264 265 293
PART-1-1,146,403 360 359 404 293 265 266 292
PART-1-1,147,404 359 358 405 292 266 267 291
PART-1-1,148,405 358 357 406 291 267 268 290
PART-1-1,149,406 357 356 407 290 268 269 289
PART-1-1,150,407 356 355 408 289 269 270 288
PART-1-1,151,408 355 354 409 288 270 271 287
PART-1-1,152,409 354 353 410 287 271 14 17
PART-1-1,153,410 353 352 411 17 14 15 18
PART-1-1,154,411 352 351 412 18 15 61 108
PART-1-1,155,412 351 350 413 108 61 62 107
PART-1-1,156,413 350 349 414 107 62 63 106
PART-1-1,157,414 349 348 415 106 63 64 105
PART-1-1,158,415 348 347 416 105 64 65 104
PART-1-1,159,416 347 346 417 104 65 66 103
PART-1-1,160,417 346 345 418 103 66 67 102
PART-1-1,161,418 345 344 419 102 67 68 101
PART-1-1,162,419 344 343 420 101 68 69 100
PART-1-1,163,420 343 1 8 100 69 70 99
PART-1-1,164,8 1 46 50 99 70 71 98
PART-1-1,165,50 46 45 51 98 71 72 97
PART-1-1,166,51 45 44 52 97 72 73 96
PART-1-1,167,52 44 4 7 96 73 74 95
PART-1-1,168,7 4 58 53 95 74 75 94
PART-1-1,169,53 58 57 54 94 75 76 93
PART-1-1,170,54 57 11 9 93 76 21 23
