instance,node_id,x,y,z
PART-1-1,200,-30.0,-5.0,0.0
PART-1-1,201,-35.0,-5.0,0.0
PART-1-1,202,-40.0,-5.0,0.0
PART-1-1,203,-45.0,-5.0,0.0
PART-1-1,204,40.0,-5.0,10.0
PART-1-1,205,35.0,-5.0,10.0
PART-1-1,206,30.0,-5.0,10.0
PART-1-1,207,25.0,-5.0,10.0
PART-1-1,208,20.0,-5.0,10.0
PART-1-1,209,15.0,-5.0,10.0
PART-1-1,210,10.0,-5.0,10.0
PART-1-1,211,5.0,-5.0,10.0
PART-1-1,212,0.0,-5.0,10.0
PART-1-1,213,-5.0,-5.0,10.0
PART-1-1,214,-10.0,-5.0,10.0
PART-1-1,215,-15.0,-5.0,10.0
PART-1-1,216,-20.0,-5.0,10.0
PART-1-1,217,-25.0,-5.0,10.0
PART-1-1,218,-30.0,-5.0,10.0
PART-1-1,219,-35.0,-5.0,10.0
PART-1-1,220,-40.0,-5.0,10.0
PART-1-1,221,-45.0,-5.0,10.0
PART-1-1,222,40.0,10.0,5.0
PART-1-1,223,35.0,10.0,5.0
PART-1-1,224,30.0,10.0,5.0
PART-1-1,225,25.0,10.0,5.0
PART-1-1,226,20.0,10.0,5.0
PART-1-1,227,15.0,10.0,5.0
PART-1-1,228,10.0,10.0,5.0
PART-1-1,229,5.0,10.0,5.0
PART-1-1,230,0.0,10.0,5.0
PART-1-1,231,-5.0,10.0,5.0
PART-1-1,232,-10.0,10.0,5.0
PART-1-1,233,-15.0,10.0,5.0
PART-1-1,234,-20.0,10.0,5.0
PART-1-1,235,-25.0,10.0,5.0
PART-1-1,236,-30.0,10.0,5.0
PART-1-1,237,-35.0,10.0,5.0
PART-1-1,238,-40.0,10.0,5.0
PART-1-1,239,-45.0,10.0,5.0
PART-1-1,240,45.0,5.0,5.0
PART-1-1,241,-50.0,5.0,5.0
PART-1-1,242,40.0,5.0,0.0
PART-1-1,243,35.0,5.0,0.0
PART-1-1,244,30.0,5.0,0.0
PART-1-1,245,25.0,5.0,0.0
PART-1-1,246,20.0,5.0,0.0
PART-1-1,247,15.0,5.0,0.0
PART-1-1,248,10.0,5.0,0.0
PART-1-1,249,5.0,5.0,0.0
PART-1-1,250,0.0,5.0,0.0
PART-1-1,251,-5.0,5.0,0.0
PART-1-1,252,-10.0,5.0,0.0
PART-1-1,253,-15.0,5.0,0.0
PART-1-1,254,-20.0,5.0,0.0
PART-1-1,255,-25.0,5.0,0.0
PART-1-1,256,-30.0,5.0,0.0
PART-1-1,257,-35.0,5.0,0.0
PART-1-1,258,-40.0,5.0,0.0
PART-1-1,259,-45.0,5.0,0.0
PART-1-1,260,40.0,5.0,10.0
PART-1-1,261,35.0,5.0,10.0
PART-1-1,262,30.0,5.0,10.0
PART-1-1,263,25.0,5.0,10.0
PART-1-1,264,20.0,5.0,10.0
PART-1-1,265,15.0,5.0,10.0
PART-1-1,266,10.0,5.0,10.0
PART-1-1,267,5.0,5.0,10.0
PART-1-1,268,0.0,5.0,10.0
PART-1-1,269,-5.0,5.0,10.0
PART-1-1,270,-10.0,5.0,10.0
PART-1-1,271,-15.0,5.0,10.0
PART-1-1,272,-20.0,5.0,10.0
PART-1-1,273,-25.0,5.0,10.0
PART-1-1,274,-30.0,5.0,10.0
PART-1-1,275,-35.0,5.0,10.0
PART-1-1,276,-40.0,5.0,10.0
PART-1-1,277,-45.0,5.0,10.0
PART-1-1,278,50.0,-5.0,5.0
PART-1-1,279,50.0,5.0,5.0
PART-1-1,280,40.0,-5.0,5.0
PART-1-1,281,35.0,-5.0,5.0
PART-1-1,282,30.0,-5.0,5.0
PART-1-1,283,25.0,-5.0,5.0
PART-1-1,284,20.0,-5.0,5.0
PART-1-1,285,15.0,-5.0,5.0
PART-1-1,286,10.0,-5.0,5.0
PART-1-1,287,5.0,-5.0,5.0
PART-1-1,288,0.0,-5.0,5.0
PART-1-1,289,-5.0,-5.0,5.0
PART-1-1,290,-10.0,-5.0,5.0
PART-1-1,291,-15.0,-5.0,5.0
PART-1-1,292,-20.0,-5.0,5.0
PART-1-1,293,-25.0,-5.0,5.0
PART-1-1,294,-30.0,-5.0,5.0
PART-1-1,295,-35.0,-5.0,5.0
PART-1-1,296,-40.0,-5.0,5.0
PART-1-1,297,-45.0,-5.0,5.0
PART-1-1,298,40.0,5.0,5.0
PART-1-1,299,35.0,5.0,5.0
PART-1-1,300,30.0,5.0,5.0
PART-1-1,301,25.0,5.0,5.0
PART-1-1,302,20.0,5.0,5.0
PART-1-1,303,15.0,5.0,5.0
PART-1-1,304,10.0,5.0,5.0
PART-1-1,305,5.0,5.0,5.0
PART-1-1,306,0.0,5.0,5.0
PART-1-1,307,-5.0,5.0,5.0
PART-1-1,308,-10.0,5.0,5.0
PART-1-1,309,-15.0,5.0,5.0
PART-1-1,310,-20.0,5.0,5.0
PART-1-1,311,-25.0,5.0,5.0
PART-1-1,312,-30.0,5.0,5.0
PART-1-1,313,-35.0,5.0,5.0
PART-1-1,314,-40.0,5.0,5.0
PART-1-1,315,-45.0,5.0,5.0
