instance,element_id,node_ids
PART-1-1,71,178 179 89 88 292 293 217 216
PART-1-1,72,179 180 90 89 293 294 218 217
PART-1-1,73,180 181 91 90 294 295 219 218
PART-1-1,74,181 182 92 91 295 296 220 219
PART-1-1,75,182 183 93 92 296 297 221 220
PART-1-1,76,183 75 6 93 297 185 97 221
PART-1-1,77,1 19 148 56 138 242 298 240
PART-1-1,78,19 20 149 148 242 243 299 298
PART-1-1,79,20 21 150 149 243 244 300 299
PART-1-1,80,21 22 151 150 244 245 301 300
PART-1-1,81,22 23 152 151 245 246 302 301
PART-1-1,82,23 24 153 152 246 247 303 302
PART-1-1,83,24 25 154 153 247 248 304 303
PART-1-1,84,25 26 155 154 248 249 305 304
PART-1-1,85,26 27 156 155 249 250 306 305
PART-1-1,86,27 28 157 156 250 251 307 306
PART-1-1,87,28 29 158 157 251 252 308 307
PART-1-1,88,29 30 159 158 252 253 309 308
PART-1-1,89,30 31 160 159 253 254 310 309
PART-1-1,90,31 32 161 160 254 255 311 310
PART-1-1,91,32 33 162 161 255 256 312 311
PART-1-1,92,33 34 163 162 256 257 313 312
PART-1-1,93,34 35 164 163 257 258 314 313
PART-1-1,94,35 36 165 164 258 259 315 314
PART-1-1,95,36 2 37 165 259 140 241 315
PART-1-1,96,56 148 55 4 240 298 260 137
PART-1-1,97,148 149 54 55 298 299 261 260
PART-1-1,98,149 150 53 54 299 300 262 261
PART-1-1,99,150 151 52 53 300 301 263 262
PART-1-1,100,151 152 51 52 301 302 264 263
PART-1-1,101,152 153 50 51 302 303 265 264
PART-1-1,102,153 154 49 50 303 304 266 265
PART-1-1,103,154 155 48 49 304 305 267 266
PART-1-1,104,155 156 47 48 305 306 268 267
PART-1-1,105,156 157 46 47 306 307 269 268
PART-1-1,106,157 158 45 46 307 308 270 269
PART-1-1,107,158 159 44 45 308 309 271 270
PART-1-1,108,159 160 43 44 309 310 272 271
PART-1-1,109,160 161 42 43 310 311 273 272
PART-1-1,110,161 162 41 42 311 312 274 273
PART-1-1,111,162 163 40 41 312 313 275 274
PART-1-1,112,163 164 39 40 313 314 276 275
PART-1-1,113,164 165 38 39 314 315 277 276
PART-1-1,114,165 37 3 38 315 241 139 277
PART-1-1,115,138 242 298 240 9 99 222 136
PART-1-1,116,242 243 299 298 99 100 223 222
PART-1-1,117,243 244 300 299 100 101 224 223
PART-1-1,118,244 245 301 300 101 102 225 224
PART-1-1,119,245 246 302 301 102 103 226 225
PART-1-1,120,246 247 303 302 103 104 227 226
PART-1-1,121,247 248 304 303 104 105 228 227
PART-1-1,122,248 249 305 304 105 106 229 228
PART-1-1,123,249 250 306 305 106 107 230 229
PART-1-1,124,250 251 307 306 107 108 231 230
PART-1-1,125,251 252 308 307 108 109 232 231
PART-1-1,126,252 253 309 308 109 110 233 232
PART-1-1,127,253 254 310 309 110 111 234 233
PART-1-1,128,254 255 311 310 111 112 235 234
PART-1-1,129,255 256 312 311 112 113 236 235
PART-1-1,130,256 257 313 312 113 114 237 236
PART-1-1,131,257 258 314 313 114 115 238 237
PART-1-1,132,258 259 315 314 115 116 239 238
PART-1-1,133,259 140 241 315 116 10 117 239
PART-1-1,134,240 298 260 137 136 222 135 12
PART-1-1,135,298 299 261 260 222 223 134 135
PART-1-1,136,299 300 262 261 223 224 133 134
PART-1-1,137,300 301 263 262 224 225 132 133
PART-1-1,138,301 302 264 263 225 226 131 132
PART-1-1,139,302 303 265 264 226 227 130 131
PART-1-1,140,303 304 266 265 227 228 129 130
PART-1-1,141,304 305 267 266 228 229 128 129
PART-1-1,142,305 306 268 267 229 230 127 128
PART-1-1,143,306 307 269 268 230 231 126 127
PART-1-1,144,307 308 270 269 231 232 125 126
PART-1-1,145,308 309 271 270 232 233 124 125
PART-1-1,146,309 310 272 271 233 234 123 124
PART-1-1,147,310 311 273 272 234 235 122 123
PART-1-1,148,311 312 274 273 235 236 121 122
PART-1-1,149,312 313 275 274 236 237 120 121
PART-1-1,150,313 314 276 275 237 238 119 120
PART-1-1,151,314 315 277 276 238 239 118 119
PART-1-1,152,315 241 139 277 239 117 11 118
PART-1-1,153,144 56 184 278 13 4 95 141
PART-1-1,154,278 184 94 143 141 95 7 14
PART-1-1,155,16 1 96 142 144 56 184 278
PART-1-1,156,142 96 8 15 278 184 94 143
PART-1-1,157,138 240 279 146 9 136 145 18
PART-1-1,158,240 137 147 279 136 12 17 145
PART-1-1,159,1 56 144 16 138 240 279 146
PART-1-1,160,56 4 13 144 240 137 147 279
