instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,64,1.95405,-2.00413,0.000112766,-0.107576,4.34788e-05,-0.0057041,-0.0425812
PART-1-1,65,1.96781,-2.00711,0.00258217,-0.0876529,0.00263105,0.00117979,-0.0468893
PART-1-1,66,1.96059,-2.00679,-0.00229847,-0.0963203,0.00310596,-0.00299655,-0.0428182
PART-1-1,67,1.96392,-2.00625,0.00155892,-0.0929968,0.00223033,-0.00161932,-0.0467031
PART-1-1,68,1.96049,-2.00681,-0.00229867,-0.0965475,0.0017377,-0.000182242,-0.0428013
PART-1-1,69,1.968,-2.00707,0.00254149,-0.0871494,0.00178979,-0.00447606,-0.046931
PART-1-1,70,1.95378,-2.00418,0.000294862,-0.108462,0.00488542,0.00265491,-0.042496
PART-1-1,71,1.97128,-2.0101,-0.0133023,-0.0690552,-0.00819145,-0.006507,-0.047022
PART-1-1,72,1.97016,-2.0153,0.027578,-0.130215,0.00582708,0.00205431,-0.0427981
PART-1-1,73,1.94212,-1.94556,0.0332263,-0.0535245,0.0675112,-0.000311156,-0.047327
PART-1-1,74,1.97671,-2.15116,-0.377375,-0.118362,-0.276878,-0.010169,-0.0376169
PART-1-1,75,2.8105,-1.99614,1.1007,-0.111238,0.440046,0.00948772,-0.0624878
PART-1-1,76,1.54318,-0.798863,-0.771523,-0.0633583,0.786995,0.0046184,-0.0234922
PART-1-1,77,3.15132,-2.40847,0.76905,-0.134914,0.792869,0.0190716,-0.0280981
PART-1-1,78,5.333,-6.01055,-1.10761,-0.428545,0.447527,0.00307503,-0.059601
PART-1-1,79,6.59715,-6.46881,0.385703,-0.201006,-0.264293,-0.0230369,-0.0375901
PART-1-1,80,5.68707,-5.846,-0.0357154,-0.295501,0.0774343,0.00749165,-0.0485519
PART-1-1,81,5.91078,-6.05512,-0.0264995,-0.270804,0.0145471,-0.00991132,-0.0422043
PART-1-1,82,5.9153,-6.04033,0.0128154,-0.274492,0.000534869,-0.00328654,-0.0472105
PART-1-1,83,5.89026,-6.02207,-0.000330256,-0.27383,0.0119147,-0.00502256,-0.0427744
PART-1-1,84,5.89796,-6.03121,-0.00245792,-0.274615,0.00853485,-0.00469392,-0.0467041
PART-1-1,85,5.89948,-6.0301,0.00212844,-0.274062,0.00698262,-0.00477766,-0.0432092
PART-1-1,86,5.89598,-6.02864,-0.00162274,-0.27431,0.00716455,-0.00472068,-0.0464493
PART-1-1,87,5.89983,-6.03011,0.00257354,-0.273823,0.00639656,-0.00471796,-0.0432402
PART-1-1,88,5.8972,-6.0312,-0.00339,-0.275132,0.00591632,-0.00476662,-0.0466496
PART-1-1,89,5.89147,-6.0221,0.00119482,-0.272969,0.00121211,-0.0044384,-0.0428664
PART-1-1,90,5.91356,-6.04035,0.0105469,-0.275766,0.0143078,-0.0062262,-0.0471083
PART-1-1,91,5.91287,-6.05489,-0.0235145,-0.269105,-0.00186217,0.000437846,-0.0423967
PART-1-1,92,5.68469,-5.84701,-0.039437,-0.297453,-0.0625575,-0.0169123,-0.0484688
PART-1-1,93,6.59789,-6.46576,0.388297,-0.199346,0.277847,0.0132968,-0.0380441
PART-1-1,94,5.33285,-6.01519,-1.11124,-0.428832,-0.434625,-0.014284,-0.0607313
PART-1-1,95,3.14984,-2.41704,0.766549,-0.137345,-0.783721,-0.0267672,-0.0259719
PART-1-1,96,3.15153,-2.40791,0.769643,-0.135001,0.793104,-0.0240707,0.0297842
PART-1-1,97,5.33234,-6.00994,-1.10814,-0.428491,0.447801,-0.0127677,0.0597726
PART-1-1,98,6.59709,-6.46904,0.385381,-0.201082,-0.264392,0.0132768,0.0373789
PART-1-1,99,5.68757,-5.84606,-0.0351223,-0.29535,0.0773089,-0.0166874,0.0486439
PART-1-1,100,5.91022,-6.05505,-0.0271718,-0.27104,0.0145565,0.000530786,0.042194
PART-1-1,101,5.9159,-6.04035,0.0136082,-0.274163,0.000435201,-0.00609951,0.0472744
PART-1-1,102,5.88954,-6.02208,-0.00131794,-0.27426,0.0119524,-0.00433552,0.0427153
PART-1-1,103,5.89886,-6.03118,-0.0012194,-0.274059,0.00831885,-0.00467527,0.0468231
PART-1-1,104,5.89833,-6.03012,0.000575572,-0.274773,0.00722518,-0.004591,0.0430894
PART-1-1,105,5.89742,-6.02862,0.000324322,-0.273402,0.00664392,-0.00464627,0.0466315
PART-1-1,106,5.89801,-6.03013,0.000124531,-0.274976,0.00706372,-0.00464928,0.0430406
PART-1-1,107,5.89952,-6.03117,-0.000284996,-0.273669,0.00482942,-0.00461436,0.0469179
PART-1-1,108,5.88857,-6.02215,-0.00271985,-0.27482,0.00259297,-0.0048892,0.0425506
PART-1-1,109,5.91721,-6.04021,0.0155974,-0.273423,0.0123646,-0.00328741,0.0474965
PART-1-1,110,5.9087,-6.05537,-0.029656,-0.272068,0.000530377,-0.00954806,0.0418187
PART-1-1,111,5.68964,-5.84582,-0.0313024,-0.293711,-0.0656854,0.00684757,0.0489884
PART-1-1,112,6.5962,-6.46951,0.381238,-0.204028,0.282067,-0.021592,0.0365706
PART-1-1,113,5.33556,-6.00994,-1.10166,-0.423067,-0.437904,-3.87493e-05,0.0591009
PART-1-1,114,3.15158,-2.40733,0.779919,-0.144453,-0.787747,0.0181066,0.0314952
PART-1-1,115,1.54457,0.796544,0.773199,0.052405,-0.784586,-0.00234374,0.0260621
PART-1-1,116,2.80361,1.99135,-1.09803,0.119629,-0.441032,-0.00992542,0.0612015
PART-1-1,117,1.97197,2.14386,0.378881,0.112657,0.27559,0.0114345,0.0388646
PART-1-1,118,1.93133,1.93587,-0.0341276,0.0575998,-0.0704073,-0.000326257,0.0467386
