instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,64,23.351,23.4227,0.0995201,0.0685085,-0.437439,-0.00266289,-5.98914e-05
PART-1-1,65,38.4024,-38.493,-0.160993,-0.0612986,0.724172,-0.0137613,-0.00512318
PART-1-1,66,38.4024,-38.493,-0.160993,-0.0612986,0.724172,0.013762,0.00512317
PART-1-1,67,85.1352,85.1654,0.137796,0.00664832,-1.5423,-0.00649422,0.000617366
PART-1-1,68,85.1352,85.1654,0.137796,0.00664832,-1.5423,0.00649376,-0.000617364
PART-1-1,69,23.483,23.4061,-0.12331,-0.0072698,-0.422474,-0.00117746,0.00960338
PART-1-1,70,23.483,23.4061,-0.12331,-0.0072698,-0.422474,0.00117758,-0.00960339
PART-1-1,71,38.5564,-38.4868,0.0955091,0.00599223,0.695919,0.00799143,0.00120594
PART-1-1,72,38.5564,-38.4868,0.0955092,0.00599223,0.695919,-0.00799073,-0.00120594
PART-1-1,73,85.2045,85.1402,-0.0236712,-0.0313482,-1.44521,0.00290165,-0.012294
PART-1-1,74,85.2045,85.1402,-0.0236712,-0.0313482,-1.44521,-0.00290213,0.012294
PART-1-1,75,23.3612,23.4252,0.0807572,0.0683151,-0.404272,0.000455419,0.000649929
PART-1-1,76,23.3612,23.4252,0.0807572,0.0683151,-0.404271,-0.000455296,-0.000649931
PART-1-1,77,38.3962,-38.4952,-0.147104,-0.0847831,0.657264,-0.00410004,-0.00531803
PART-1-1,78,38.3962,-38.4952,-0.147104,-0.0847831,0.657264,0.00410076,0.00531802
PART-1-1,79,85.1585,85.1774,0.111777,-0.00623535,-1.38597,-0.00114208,-0.0010827
PART-1-1,80,85.1585,85.1774,0.111777,-0.00623534,-1.38597,0.00114158,0.0010827
PART-1-1,81,23.4711,23.4055,-0.108188,-0.00485215,-0.374357,0.000196756,0.00936137
PART-1-1,82,23.4711,23.4055,-0.108188,-0.00485215,-0.374357,-0.000196631,-0.00936137
PART-1-1,83,38.5543,-38.4891,0.0836706,0.0164584,0.622028,0.00162132,0.00138199
PART-1-1,84,38.5543,-38.4891,0.0836706,0.0164584,0.622028,-0.00162057,-0.00138199
PART-1-1,85,85.1906,85.1405,-0.0155816,-0.0259818,-1.29096,1.58278e-05,-0.0110246
PART-1-1,86,85.1906,85.1405,-0.0155815,-0.0259818,-1.29096,-1.63422e-05,0.0110246
PART-1-1,87,23.3715,23.4286,0.0657647,0.0652031,-0.361045,-0.000203248,0.000732497
PART-1-1,88,23.3715,23.4286,0.0657648,0.0652031,-0.361044,0.000203375,-0.000732499
PART-1-1,89,38.402,-38.4978,-0.130825,-0.0877615,0.586743,-0.000472703,-0.00544037
PART-1-1,90,38.402,-38.4978,-0.130825,-0.0877615,0.586743,0.000473467,0.00544036
PART-1-1,91,85.1658,85.1851,0.0992057,-0.00783552,-1.2224,6.2679e-05,-0.00190819
PART-1-1,92,85.1658,85.1851,0.0992057,-0.00783552,-1.2224,-6.32124e-05,0.00190819
PART-1-1,93,23.4639,23.4054,-0.10009,-0.00216619,-0.333938,0.000289685,0.00934015
PART-1-1,94,23.4639,23.4054,-0.10009,-0.00216619,-0.333938,-0.000289556,-0.00934015
PART-1-1,95,38.5485,-38.4911,0.0749966,0.0161419,0.551348,1.7975e-05,0.00144763
PART-1-1,96,38.5485,-38.4911,0.0749966,0.0161419,0.551348,-1.7189e-05,-0.00144764
PART-1-1,97,85.1875,85.1435,-0.0164241,-0.0257579,-1.14067,-0.000169897,-0.0106337
PART-1-1,98,85.1875,85.1435,-0.0164241,-0.0257579,-1.14067,0.000169347,0.0106337
PART-1-1,99,23.3752,23.4306,0.0596523,0.063678,-0.313021,1.54215e-05,0.000734446
PART-1-1,100,23.3752,23.4306,0.0596524,0.063678,-0.313021,-1.52903e-05,-0.000734449
PART-1-1,101,38.4054,-38.5,-0.122923,-0.0869261,0.514004,-7.81248e-05,-0.00545949
PART-1-1,102,38.4054,-38.5,-0.122923,-0.0869261,0.514004,7.89319e-05,0.00545948
PART-1-1,103,85.1658,85.1895,0.0947179,-0.00783434,-1.05699,-5.27346e-05,-0.00187693
PART-1-1,104,85.1658,85.1895,0.0947179,-0.00783434,-1.05699,5.21661e-05,0.00187693
PART-1-1,105,23.4638,23.4064,-0.101092,-0.00216198,-0.295808,-5.58392e-05,0.00934414
PART-1-1,106,23.4638,23.4064,-0.101092,-0.00216198,-0.295808,5.59725e-05,-0.00934414
PART-1-1,107,38.5485,-38.4929,0.0769134,0.0161615,0.481818,3.37688e-05,0.00142988
PART-1-1,108,38.5485,-38.4929,0.0769134,0.0161615,0.481818,-3.29391e-05,-0.00142989
PART-1-1,109,85.1905,85.1485,-0.0235257,-0.02598,-0.990488,-0.000364924,-0.0110817
PART-1-1,110,85.1905,85.1485,-0.0235257,-0.0259799,-0.990488,0.000364339,0.0110817
PART-1-1,111,23.3715,23.4312,0.0631612,0.0651945,-0.264856,0.000230997,0.000729276
