instance,node_id,x,y,z
PART-1-1,1,50.0,3.799999952316284,0.0
PART-1-1,2,50.0,3.799999952316284,5.0
PART-1-1,3,50.0,-5.0,5.0
PART-1-1,4,50.0,-5.0,0.0
PART-1-1,5,-50.0,3.799999952316284,5.0
PART-1-1,6,-50.0,-5.0,5.0
PART-1-1,7,-50.0,-5.0,0.0
PART-1-1,8,-50.0,3.799999952316284,0.0
PART-1-1,9,50.0,4.099999904632568,5.0
PART-1-1,10,50.0,4.099999904632568,0.0
PART-1-1,11,50.0,4.400000095367432,0.0
PART-1-1,12,50.0,4.400000095367432,5.0
PART-1-1,13,-50.0,4.099999904632568,0.0
PART-1-1,14,-50.0,4.400000095367432,0.0
PART-1-1,15,-50.0,4.400000095367432,5.0
PART-1-1,16,-50.0,4.099999904632568,5.0
PART-1-1,25,50.0,3.799999952316284,2.5
PART-1-1,26,50.0,0.8666666746139526,5.0
PART-1-1,27,50.0,-2.066666603088379,5.0
PART-1-1,28,50.0,-5.0,2.5
PART-1-1,29,50.0,-2.066666603088379,0.0
PART-1-1,30,50.0,0.8666666746139526,0.0
PART-1-1,31,-50.0,3.799999952316284,2.5
PART-1-1,32,-50.0,-2.066666603088379,5.0
PART-1-1,33,-50.0,0.8666666746139526,5.0
PART-1-1,34,-50.0,-5.0,2.5
PART-1-1,35,-50.0,0.8666666746139526,0.0
PART-1-1,36,-50.0,-2.066666603088379,0.0
PART-1-1,37,46.969696044921875,-5.0,0.0
PART-1-1,38,43.93939208984375,-5.0,0.0
PART-1-1,39,40.90909194946289,-5.0,0.0
PART-1-1,40,37.878787994384766,-5.0,0.0
PART-1-1,41,34.84848403930664,-5.0,0.0
PART-1-1,42,31.81818199157715,-5.0,0.0
PART-1-1,43,28.787878036499023,-5.0,0.0
PART-1-1,44,25.75757598876953,-5.0,0.0
PART-1-1,45,22.727272033691406,-5.0,0.0
PART-1-1,46,19.696969985961914,-5.0,0.0
PART-1-1,47,16.66666603088379,-5.0,0.0
PART-1-1,48,13.636363983154297,-5.0,0.0
PART-1-1,49,10.606060981750488,-5.0,0.0
PART-1-1,50,7.5757575035095215,-5.0,0.0
PART-1-1,51,4.545454502105713,-5.0,0.0
PART-1-1,52,1.5151515007019043,-5.0,0.0
PART-1-1,53,-1.5151515007019043,-5.0,0.0
PART-1-1,54,-4.545454502105713,-5.0,0.0
PART-1-1,55,-7.5757575035095215,-5.0,0.0
PART-1-1,56,-10.606060981750488,-5.0,0.0
PART-1-1,57,-13.636363983154297,-5.0,0.0
PART-1-1,58,-16.66666603088379,-5.0,0.0
PART-1-1,59,-19.696969985961914,-5.0,0.0
PART-1-1,60,-22.727272033691406,-5.0,0.0
PART-1-1,61,-25.75757598876953,-5.0,0.0
PART-1-1,62,-28.787878036499023,-5.0,0.0
PART-1-1,63,-31.81818199157715,-5.0,0.0
PART-1-1,64,-34.84848403930664,-5.0,0.0
PART-1-1,65,-37.878787994384766,-5.0,0.0
PART-1-1,66,-40.90909194946289,-5.0,0.0
PART-1-1,67,-43.93939208984375,-5.0,0.0
PART-1-1,68,-46.969696044921875,-5.0,0.0
PART-1-1,69,-46.969696044921875,3.799999952316284,0.0
PART-1-1,70,-43.93939208984375,3.799999952316284,0.0
PART-1-1,71,-40.90909194946289,3.799999952316284,0.0
PART-1-1,72,-37.878787994384766,3.799999952316284,0.0
PART-1-1,73,-34.84848403930664,3.799999952316284,0.0
PART-1-1,74,-31.81818199157715,3.799999952316284,0.0
PART-1-1,75,-28.787878036499023,3.799999952316284,0.0
PART-1-1,76,-25.75757598876953,3.799999952316284,0.0
PART-1-1,77,-22.727272033691406,3.799999952316284,0.0
PART-1-1,78,-19.696969985961914,3.799999952316284,0.0
PART-1-1,79,-16.66666603088379,3.799999952316284,0.0
PART-1-1,80,-13.636363983154297,3.799999952316284,0.0
PART-1-1,81,-10.606060981750488,3.799999952316284,0.0
PART-1-1,82,-7.5757575035095215,3.799999952316284,0.0
PART-1-1,83,-4.545454502105713,3.799999952316284,0.0
PART-1-1,84,-1.5151515007019043,3.799999952316284,0.0
PART-1-1,85,1.5151515007019043,3.799999952316284,0.0
PART-1-1,86,4.545454502105713,3.799999952316284,0.0
PART-1-1,87,7.5757575035095215,3.799999952316284,0.0
PART-1-1,88,10.606060981750488,3.799999952316284,0.0
PART-1-1,89,13.636363983154297,3.799999952316284,0.0
PART-1-1,90,16.66666603088379,3.799999952316284,0.0
