instance,element_id,node_ids
PART-1-1,128,582 154 539 795 581 153 537 793
PART-1-1,129,475 795 796 476 473 793 794 474
PART-1-1,130,795 539 540 796 793 537 538 794
PART-1-1,131,476 796 614 58 474 794 613 57
PART-1-1,132,796 540 111 614 794 538 112 613
PART-1-1,133,78 583 797 477 79 582 795 475
PART-1-1,134,583 155 541 797 582 154 539 795
PART-1-1,135,477 797 798 478 475 795 796 476
PART-1-1,136,797 541 542 798 795 539 540 796
PART-1-1,137,478 798 615 59 476 796 614 58
PART-1-1,138,798 542 110 615 796 540 111 614
PART-1-1,139,77 584 799 479 78 583 797 477
PART-1-1,140,584 156 543 799 583 155 541 797
PART-1-1,141,479 799 800 480 477 797 798 478
PART-1-1,142,799 543 544 800 797 541 542 798
PART-1-1,143,480 800 616 60 478 798 615 59
PART-1-1,144,800 544 109 616 798 542 110 615
PART-1-1,145,76 585 801 481 77 584 799 479
PART-1-1,146,585 157 545 801 584 156 543 799
PART-1-1,147,481 801 802 482 479 799 800 480
PART-1-1,148,801 545 546 802 799 543 544 800
PART-1-1,149,482 802 617 61 480 800 616 60
PART-1-1,150,802 546 108 617 800 544 109 616
PART-1-1,151,75 586 803 483 76 585 801 481
PART-1-1,152,586 158 547 803 585 157 545 801
PART-1-1,153,483 803 804 484 481 801 802 482
PART-1-1,154,803 547 548 804 801 545 546 802
PART-1-1,155,484 804 618 62 482 802 617 61
PART-1-1,156,804 548 107 618 802 546 108 617
PART-1-1,157,74 587 805 485 75 586 803 483
PART-1-1,158,587 159 549 805 586 158 547 803
PART-1-1,159,485 805 806 486 483 803 804 484
PART-1-1,160,805 549 550 806 803 547 548 804
PART-1-1,161,486 806 619 63 484 804 618 62
PART-1-1,162,806 550 106 619 804 548 107 618
PART-1-1,163,73 588 807 487 74 587 805 485
PART-1-1,164,588 160 551 807 587 159 549 805
PART-1-1,165,487 807 808 488 485 805 806 486
PART-1-1,166,807 551 552 808 805 549 550 806
PART-1-1,167,488 808 620 64 486 806 619 63
PART-1-1,168,808 552 105 620 806 550 106 619
PART-1-1,169,72 589 809 489 73 588 807 487
PART-1-1,170,589 161 553 809 588 160 551 807
PART-1-1,171,489 809 810 490 487 807 808 488
PART-1-1,172,809 553 554 810 807 551 552 808
PART-1-1,173,490 810 621 65 488 808 620 64
PART-1-1,174,810 554 104 621 808 552 105 620
PART-1-1,175,71 590 811 491 72 589 809 489
PART-1-1,176,590 162 555 811 589 161 553 809
PART-1-1,177,491 811 812 492 489 809 810 490
PART-1-1,178,811 555 556 812 809 553 554 810
PART-1-1,179,492 812 622 66 490 810 621 65
PART-1-1,180,812 556 103 622 810 554 104 621
PART-1-1,181,70 591 813 493 71 590 811 491
PART-1-1,182,591 163 557 813 590 162 555 811
PART-1-1,183,493 813 814 494 491 811 812 492
PART-1-1,184,813 557 558 814 811 555 556 812
PART-1-1,185,494 814 623 67 492 812 622 66
PART-1-1,186,814 558 102 623 812 556 103 622
PART-1-1,187,69 592 815 495 70 591 813 493
PART-1-1,188,592 164 559 815 591 163 557 813
PART-1-1,189,495 815 816 496 493 813 814 494
PART-1-1,190,815 559 560 816 813 557 558 814
PART-1-1,191,496 816 624 68 494 814 623 67
PART-1-1,192,816 560 101 624 814 558 102 623
PART-1-1,193,8 31 431 35 69 592 815 495
PART-1-1,194,31 5 33 431 592 164 559 815
PART-1-1,195,35 431 432 36 495 815 816 496
PART-1-1,196,431 33 32 432 815 559 560 816
PART-1-1,197,36 432 34 7 496 816 624 68
PART-1-1,198,432 32 6 34 816 560 101 624
PART-1-1,199,232 625 657 169 9 165 166 12
PART-1-1,200,625 265 264 657 165 10 11 166
PART-1-1,201,231 626 658 170 232 625 657 169
PART-1-1,202,626 266 263 658 625 265 264 657
PART-1-1,203,230 627 659 171 231 626 658 170
PART-1-1,204,627 267 262 659 626 266 263 658
PART-1-1,205,229 628 660 172 230 627 659 171
PART-1-1,206,628 268 261 660 627 267 262 659
PART-1-1,207,228 629 661 173 229 628 660 172
PART-1-1,208,629 269 260 661 628 268 261 660
PART-1-1,209,227 630 662 174 228 629 661 173
PART-1-1,210,630 270 259 662 629 269 260 661
PART-1-1,211,226 631 663 175 227 630 662 174
PART-1-1,212,631 271 258 663 630 270 259 662
PART-1-1,213,225 632 664 176 226 631 663 175
PART-1-1,214,632 272 257 664 631 271 258 663
PART-1-1,215,224 633 665 177 225 632 664 176
PART-1-1,216,633 273 256 665 632 272 257 664
PART-1-1,217,223 634 666 178 224 633 665 177
PART-1-1,218,634 274 255 666 633 273 256 665
PART-1-1,219,222 635 667 179 223 634 666 178
PART-1-1,220,635 275 254 667 634 274 255 666
PART-1-1,221,221 636 668 180 222 635 667 179
PART-1-1,222,636 276 253 668 635 275 254 667
PART-1-1,223,220 637 669 181 221 636 668 180
PART-1-1,224,637 277 252 669 636 276 253 668
PART-1-1,225,219 638 670 182 220 637 669 181
PART-1-1,226,638 278 251 670 637 277 252 669
PART-1-1,227,218 639 671 183 219 638 670 182
PART-1-1,228,639 279 250 671 638 278 251 670
PART-1-1,229,217 640 672 184 218 639 671 183
PART-1-1,230,640 280 249 672 639 279 250 671
PART-1-1,231,216 641 673 185 217 640 672 184
PART-1-1,232,641 281 248 673 640 280 249 672
PART-1-1,233,215 642 674 186 216 641 673 185
PART-1-1,234,642 282 247 674 641 281 248 673
PART-1-1,235,214 643 675 187 215 642 674 186
PART-1-1,236,643 283 246 675 642 282 247 674
PART-1-1,237,213 644 676 188 214 643 675 187
PART-1-1,238,644 284 245 676 643 283 246 675
PART-1-1,239,212 645 677 189 213 644 676 188
PART-1-1,240,645 285 244 677 644 284 245 676
PART-1-1,241,211 646 678 190 212 645 677 189
PART-1-1,242,646 286 243 678 645 285 244 677
PART-1-1,243,210 647 679 191 211 646 678 190
PART-1-1,244,647 287 242 679 646 286 243 678
PART-1-1,245,209 648 680 192 210 647 679 191
PART-1-1,246,648 288 241 680 647 287 242 679
PART-1-1,247,208 649 681 193 209 648 680 192
PART-1-1,248,649 289 240 681 648 288 241 680
PART-1-1,249,207 650 682 194 208 649 681 193
PART-1-1,250,650 290 239 682 649 289 240 681
PART-1-1,251,206 651 683 195 207 650 682 194
PART-1-1,252,651 291 238 683 650 290 239 682
